*************************
Information of currently running processes. 
*************************
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 13536, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'msedge.exe', 'vms': 65.06640625}
{'pid': 13572, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'Code.exe', 'vms': 110.18359375}
{'pid': 13876, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'msedge.exe', 'vms': 75.26953125}
{'pid': 14004, 'username': None, 'name': 'svchost.exe', 'vms': 3.97265625}
{'pid': 14028, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'backgroundTaskHost.exe', 'vms': 17.92578125}
{'pid': 14056, 'username': None, 'name': 'svchost.exe', 'vms': 1.64453125}
{'pid': 14636, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'msedgewebview2.exe', 'vms': 14.484375}
{'pid': 14688, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'msedgewebview2.exe', 'vms': 9.9453125}
{'pid': 14744, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'ctfmon.exe', 'vms': 25.5390625}
{'pid': 14884, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'msedgewebview2.exe', 'vms': 124.40234375}
{'pid': 15000, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'DesktopExtension.exe', 'vms': 26.38671875}
{'pid': 15004, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'TabTip.exe', 'vms': 50.578125}
{'pid': 15336, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'chrome.exe', 'vms': 2.2890625}
{'pid': 15456, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'backgroundTaskHost.exe', 'vms': 5.4140625}
{'pid': 15584, 'username': None, 'name': 'svchost.exe', 'vms': 2.7734375}
{'pid': 15664, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'HP.myHP.exe', 'vms': 62.625}
{'pid': 15732, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'SystemSettings.exe', 'vms': 115.06640625}
{'pid': 15780, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'RuntimeBroker.exe', 'vms': 3.296875}
{'pid': 15952, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'CrossDeviceService.exe', 'vms': 26.5234375}
{'pid': 16080, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'LightStudio-background.exe', 'vms': 141.9296875}
{'pid': 16136, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'TextInputHost.exe', 'vms': 174.046875}
{'pid': 16204, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'mc-extn-browserhost.exe', 'vms': 6.16796875}
{'pid': 16300, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'svchost.exe', 'vms': 5.58984375}
{'pid': 16356, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'HPEnhancedLighting.Bg.exe', 'vms': 29.12890625}
{'pid': 16652, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'RuntimeBroker.exe', 'vms': 13.25}
{'pid': 16864, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'HP.ContextAware.exe', 'vms': 32.37109375}
{'pid': 17028, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'RuntimeBroker.exe', 'vms': 3.2265625}
